# istep   pe  t_kin   ke
0 -2.1936439383185697 1.080526619123422 159.91793963026646 
100 -4.776613306627563 1.068589880426806 158.15130230316728 
200 -5.167361275600379 1.0682653577791987 158.1032729513214 
300 -4.985162162958713 1.068477740102454 158.13470553516322 
400 -5.034445471005678 1.0680393617045123 158.06982553226783 
500 -4.960425026571234 1.068597872904651 158.15248518988835 
600 -4.877645883617546 1.0692743925634758 158.25261009939442 
700 -4.922143286861583 1.0682928209325007 158.1073374980101 
800 -5.080168656150942 1.0680887935642462 158.07714144750844 
900 -4.849184792477941 1.0686229336526194 158.15619418058768 
1000 -4.910804371556879 1.0685446477067755 158.14460786060278 
1100 -5.033412034963568 1.0678836563259917 158.04678113624678 
1200 -4.699713869285344 1.0695297592290816 158.29040436590407 
1300 -4.902884011623571 1.0683065815641037 158.10937407148737 
1400 -5.000691334284084 1.0683744335194303 158.1194161608757 
1500 -4.978014282023792 1.0680930743072898 158.07777499747888 
1600 -4.9287731054121915 1.06814901479473 158.08605418962003 
1700 -4.8877064483493005 1.0689751158912282 158.20831715190178 
1800 -4.9168733535219165 1.0687374141372223 158.17313729230892 
1900 -5.045015668516319 1.0684839803243542 158.1356290880044 
2000 -5.034693962251738 1.0687070597275898 158.16864483968328 
2100 -4.997190396274921 1.0683561313355194 158.11670743765688 
2200 -4.91589199293739 1.0684388009475871 158.1289425402429 
2300 -5.049234806390916 1.0680561985226116 158.07231738134652 
2400 -4.984239156901827 1.0682979810371414 158.1081011934969 
2500 -5.060194034419527 1.0681545025742143 158.0868663809837 
2600 -4.895182213890062 1.0685782041497107 158.14957421415718 
2700 -5.063049010467305 1.0682613181181049 158.10267508147953 
2800 -4.980807805810049 1.0677541958697396 158.02762098872145 
2900 -5.047306192180402 1.068266653555123 158.10346472615822 
3000 -4.98195414558328 1.068300366724748 158.1084542752627 
3100 -4.946280648575388 1.0682692006783308 158.10384170039296 
3200 -5.048881398368903 1.0677528737119637 158.02742530937064 
3300 -4.891413438137206 1.0680783244906034 158.0755920246093 
3400 -4.827236853078764 1.069209290310446 158.24297496594602 
3500 -4.927943541768202 1.0682585031819918 158.10225847093477 
3600 -4.794643581392331 1.068529582804796 158.1423782551098 
3700 -4.899158234597515 1.0687476295816425 158.1746491780831 
3800 -4.900844615952195 1.0686292739754852 158.1571325483718 
3900 -4.767583455941588 1.0686370458442294 158.15828278494595 
4000 -4.9731761723964985 1.0685749217627991 158.14908842089426 
4100 -4.844280405880758 1.0683659419342209 158.11815940626468 
4200 -4.891556313500282 1.0684500746314547 158.13061104545528 
4300 -4.935335571864043 1.0687532712902246 158.17548415095325 
4400 -4.910010927586464 1.068375441633812 158.11956536180418 
4500 -4.891135061018053 1.0690901510009962 158.22534234814745 
4600 -4.942962889642877 1.0683537262051808 158.11635147836677 
4700 -4.906862992102929 1.0683276208849306 158.11248789096973 
4800 -4.8110332979877946 1.0687748891723152 158.17868359750264 
4900 -4.754923646857572 1.0686523112256245 158.16054206139242 
5000 -4.8441308630405295 1.0687455430215511 158.17434036718956 
5100 -5.167323609328227 1.0677888986001376 158.03275699282037 
5200 -5.0286717555766565 1.0682377921698805 158.0991932411423 
5300 -4.998972875762362 1.0685029530122931 158.1384370458194 
5400 -4.919593947909153 1.0681250008641812 158.0825001278988 
5500 -5.066705686241196 1.0677585097171272 158.02825943813482 
5600 -4.889183169403429 1.0683335145863004 158.11336015877248 
5700 -4.684777375769949 1.069509294430557 158.28737557572245 
5800 -5.071986673996056 1.06814453033213 158.08539048915523 
5900 -4.975102540019873 1.0683598748516576 158.11726147804532 
6000 -5.075673549039437 1.068182196831279 158.0909651310293 
6100 -4.813638541722546 1.0688989765711159 158.19704853252514 
6200 -4.942461407141168 1.0682641914980298 158.1031003417084 
6300 -4.99309234677435 1.0683554961301198 158.11661342725773 
6400 -4.88061923875782 1.0685652434263837 158.1476560271048 
6500 -4.969694148652665 1.0684845410336334 158.13571207297775 
6600 -5.02745588492589 1.0682752618865134 158.104738759204 
6700 -5.01257440825415 1.06812163189175 158.082001519979 
6800 -4.959681475640773 1.0682633772333836 158.1029798305408 
6900 -4.901200358300903 1.0688130627261863 158.18433328347555 
7000 -5.0308244106393705 1.0682067034020064 158.09459210349695 
7100 -4.968430787352108 1.0680648632343344 158.0735997586815 
7200 -4.718638601381922 1.0691609742190484 158.23582418441916 
7300 -5.048820930722305 1.068265617866169 158.103311444193 
7400 -5.0422579689703095 1.0683865844484486 158.1212144983704 
7500 -4.957083604444892 1.068525874000385 158.14182935205696 
7600 -4.998284829582666 1.0677074753041045 158.02070634500745 
7700 -4.846780697098108 1.0683621106923258 158.1175923824642 
7800 -4.850141503023674 1.0686855980885537 158.16546851710595 
7900 -5.015619818369521 1.068030832041058 158.06856314207658 
8000 -4.989010578700093 1.0684733785561953 158.13406002631692 
8100 -5.072824828093859 1.0683330853689663 158.11329663460702 
8200 -4.982793347036612 1.0680981422925104 158.07852505929154 
8300 -4.917195052255657 1.068665042725626 158.16242632339262 
8400 -5.059861317026954 1.0679393643383552 158.05502592207657 
8500 -4.7655389737939675 1.0690679798362477 158.22206101576467 
8600 -4.914554046438145 1.0683260140066655 158.11225007298648 
8700 -4.951011209392071 1.068498578664849 158.13778964239768 
8800 -5.0083094597852345 1.0679566224047052 158.05758011589637 
8900 -4.960257757126928 1.0689293642996243 158.2015459163444 
9000 -5.038669185702502 1.067955302109141 158.05738471215287 
9100 -4.940919532537987 1.068368670598494 158.11856324857712 
9200 -5.020274287401758 1.0680167693581002 158.06648186499882 
9300 -5.018319371507471 1.0685116418810665 158.13972299839784 
9400 -4.887518202833339 1.0685680373036806 158.14806952094472 
9500 -4.811899871437668 1.0685769080869385 158.1493823968669 
9600 -4.82308946360509 1.068943510009575 158.2036394814171 
9700 -4.939669236897825 1.068391720248483 158.1219745967755 
9800 -5.012394557592839 1.068108301352534 158.08002860017504 
9900 -4.99981406293526 1.0680321513145945 158.06875839455998 
10000 -4.892322243144601 1.0682933154733067 158.1074106900494 
10100 -4.819111297006084 1.068527190311428 158.14202416609135 
10200 -4.9059314146232165 1.0683974311127056 158.12281980468043 
10300 -4.989632478769381 1.0680130523122777 158.06593174221712 
10400 -5.007772730713286 1.0678577527954316 158.04294741372388 
10500 -4.988646061746655 1.0684857536106023 158.13589153436914 
10600 -5.037810694938456 1.0677940535243784 158.03351992160802 
10700 -4.881616813136013 1.0685633708842888 158.14737889087473 
10800 -4.953010698851414 1.0683057446708268 158.10925021128236 
10900 -4.82492841787415 1.0690677372345248 158.22202511070967 
11000 -4.998147255759326 1.0685854876463887 158.15065217166554 
11100 -4.904754596161491 1.0687524771401162 158.1753666167372 
11200 -5.003114904252725 1.067815347556906 158.0366714384221 
11300 -4.937468508064083 1.0682675856420305 158.1036026750205 
11400 -4.923813446448974 1.0681600992729836 158.08769469240158 
11500 -4.858772143901162 1.0689444878389 158.2037842001572 
11600 -4.938636098363663 1.068629012621051 158.15709386791553 
11700 -5.030671117120317 1.0680990157735812 158.07865433449 
11800 -4.86619823876974 1.0685161698349241 158.1403931355688 
11900 -4.823319342492788 1.0693371492925046 158.26189809529066 
12000 -4.811132873286907 1.0684881300410587 158.13624324607667 
12100 -4.780834156700749 1.068749593579329 158.1749398497407 
12200 -5.020063436320342 1.0678257702355014 158.0382139948542 
12300 -5.052101419538738 1.0681506374813388 158.08629434723812 
12400 -5.09283377061448 1.0678377135143229 158.03998160011977 
12500 -4.965128812579649 1.0682316570404309 158.09828524198377 
12600 -5.092169045487161 1.0678849368743122 158.0469706573982 
12700 -5.044777401706224 1.0679776842484072 158.06069726876427 
12800 -4.887550526015214 1.0687185827586152 158.17035024827504 
12900 -4.735266001201833 1.0692989514412503 158.25624481330505 
13000 -5.03415537333918 1.0679472227305415 158.05618896412014 
13100 -4.90229151256655 1.0685860102170157 158.15072951211832 
13200 -4.907705919370162 1.068580901670546 158.14997344724082 
13300 -4.85192396018982 1.068937483705029 158.2027475883443 
13400 -5.025630481892795 1.0683202404592873 158.11139558797453 
13500 -4.981888203029336 1.068174013336216 158.08975397376 
13600 -4.9612027225604685 1.068365767163332 158.11813354017315 
13700 -5.08504082692529 1.068095984126601 158.07820565073695 
13800 -4.8045630892604825 1.0688373604533337 158.1879293470934 
13900 -4.966045730079599 1.0680696732632629 158.0743116429629 
14000 -4.748508630597574 1.069168234014935 158.2368986342104 
14100 -4.868112468970178 1.0686269869644338 158.1567940707362 
14200 -4.813794483926755 1.068696663200065 158.1671061536096 
14300 -5.01530258289014 1.067813027596187 158.0363280842357 
14400 -4.899999929563116 1.068728866442948 158.1718722335563 
14500 -5.002573450620505 1.0683662498993731 158.1182049851072 
14600 -4.763393531464697 1.0688009653406547 158.1825428704169 
14700 -4.850040138990168 1.0682856817524125 158.10628089935705 
14800 -4.912253509712638 1.0683958965427525 158.12259268832736 
14900 -4.835332023468593 1.06870701253144 158.16863785465313 
15000 -4.862616940596081 1.0688424756922161 158.18868640244798 
15100 -4.911787404700586 1.0686829830059899 158.1650814848865 
15200 -4.81391278469914 1.069351284969514 158.26399017548806 
15300 -4.947653088463375 1.06819015769915 158.0921433394742 
15400 -4.892232426681275 1.0684982059377086 158.13773447878089 
15500 -5.0477066949084985 1.0681518019764196 158.0864666925101 
15600 -4.964141268487835 1.0682016534257075 158.0938447070047 
15700 -4.878170802670767 1.0686680368726544 158.16286945715285 
15800 -5.117750017799757 1.0679428419288224 158.05554060546572 
15900 -4.8729568638985965 1.0688109524716636 158.1840209658062 
16000 -4.90234732706301 1.0688105414223847 158.18396013051293 
16100 -4.979411438993928 1.0681470097600698 158.08575744449033 
16200 -5.0010093527069985 1.0683823179345402 158.12058305431194 
16300 -4.7535328665779994 1.0690031520806853 158.21246650794143 
16400 -5.123382743884104 1.0678069201988216 158.0354241894256 
16500 -4.93069822078632 1.0684528838705212 158.13102681283712 
16600 -5.115378019240297 1.0677349533202463 158.02477309139644 
16700 -4.97858574392982 1.0685036541183102 158.13854080950992 
16800 -5.06274816981368 1.068072743013699 158.07476596602746 
16900 -4.914679307811784 1.0683884458008168 158.12148997852088 
17000 -5.034749063657771 1.0679324927116796 158.05400892132857 
17100 -4.9586556828007256 1.0684352580583694 158.12841819263866 
