# ioformat=2 N=1024 Dt=5.000000 columns=istep,ke,pe,p,T,Etot,W
67000 1.4156 -5.29496 8.53773 0.944655 -3.87936 7.59307 
68000 1.46351 -5.34851 8.28764 0.976628 -3.885 7.31101 
69000 1.52326 -5.34805 8.28621 1.0165 -3.82479 7.26971 
70000 1.46777 -5.25847 8.74635 0.979472 -3.7907 7.76688 
71000 1.47526 -5.2781 8.64626 0.984469 -3.80284 7.66179 
72000 1.50213 -5.30912 8.51378 1.0024 -3.807 7.51138 
73000 1.45026 -5.31577 8.39597 0.967785 -3.86551 7.42819 
74000 1.48212 -5.25697 8.78442 0.989048 -3.77485 7.79538 
# ioformat=2 N=1024 Dt=5.000000 columns=istep,ke,pe,p,T,Etot,W
75000 1.49434 -5.34573 8.30051 0.997198 -3.85139 7.30331 
76000 1.53119 -5.28904 8.60976 1.02179 -3.75785 7.58797 
77000 1.51751 -5.30225 8.55759 1.01266 -3.78475 7.54493 
78000 1.49585 -5.2916 8.59331 0.99821 -3.79575 7.5951 
79000 1.50762 -5.2645 8.75333 1.00606 -3.75688 7.74727 
80000 1.58246 -5.33025 8.44401 1.056 -3.74779 7.38801 
81000 1.49788 -5.27827 8.65118 0.999561 -3.78039 7.65162 
82000 1.51151 -5.27856 8.64559 1.00866 -3.76705 7.63693 
# ioformat=2 N=1024 Dt=5.000000 columns=istep,ke,pe,p,T,Etot,W
83000 1.57786 -5.36917 8.21244 1.05294 -3.7913 7.15951 
84000 1.47135 -5.35159 8.28289 0.981858 -3.88024 7.30103 
85000 1.57374 -5.27917 8.74649 1.05019 -3.70543 7.69631 
86000 1.57867 -5.28914 8.69071 1.05348 -3.71047 7.63724 
87000 1.51613 -5.30343 8.52406 1.01174 -3.7873 7.51232 
88000 1.52624 -5.26626 8.77178 1.01849 -3.74002 7.75329 
89000 1.50982 -5.2501 8.82605 1.00753 -3.74028 7.81852 
90000 1.49057 -5.26342 8.75249 0.994683 -3.77285 7.75781 
91000 1.49567 -5.31966 8.45012 0.998086 -3.82399 7.45203 
# ioformat=2 N=1024 Dt=5.000000 columns=istep,ke,pe,p,T,Etot,W
92000 1.48622 -5.34503 8.31667 0.991783 -3.85881 7.32489 
93000 1.44251 -5.28822 8.58727 0.962611 -3.84572 7.62466 
94000 1.49039 -5.29717 8.58901 0.994563 -3.80679 7.59444 
95000 1.5135 -5.25702 8.7387 1.00999 -3.74352 7.72871 
96000 1.47668 -5.34969 8.2906 0.985415 -3.87301 7.30519 
