# istep   pe  t_kin   ke
0 961.443063143145 3.250283979025229 481.0420288957339 
100 15.174713748447717 2.598387370174932 384.56133078588994 
200 13.00562916499144 2.598318863872012 384.5511918530578 
300 8.887873478191397 2.5972239609394423 384.38914621903746 
400 7.786538517358861 2.5987402905500376 384.61356300140557 
500 10.38441330769281 2.598600416350104 384.5928616198154 
600 9.041224067871077 2.5971818421902193 384.38291264415244 
700 7.381101035963492 2.5983729185794853 384.55919194976383 
800 11.370475031939666 2.597555562357099 384.43822322885063 
900 6.193355773978965 2.5977478966895022 384.46668871004636 
1000 10.344263252276445 2.598435797058428 384.56849796464735 
1100 5.01093402088047 2.596720697090764 384.3146631694331 
1200 11.165237772948464 2.598525205318256 384.5817303871019 
1300 13.305589173110498 2.597719304692017 384.46245709441854 
1400 11.986339526477419 2.5976299103035174 384.4492267249206 
1500 12.252045580261534 2.5979638243769734 384.49864600779205 
1600 8.755303652251955 2.59743625287817 384.4205654259692 
1700 7.854379114295977 2.597083170065051 384.36830916962754 
1800 7.1341978664471775 2.5968552805921568 384.3345815276392 
1900 8.048447475501563 2.596973264185799 384.3520430994983 
2000 5.7149193006459384 2.5965626085001365 384.2912660580202 
2100 4.929966781639498 2.597021305050818 384.3591531475211 
2200 5.446133394695729 2.5965672740274917 384.2919565560688 
2300 7.848648107603571 2.5959990901415746 384.20786534095305 
2400 7.327384937912037 2.595720790425424 384.1666769829627 
2500 8.828294791532219 2.5968238983958827 384.32993696259064 
2600 5.914394619226392 2.5962071906955764 384.2386642229453 
2700 8.539421111179305 2.5976622781327383 384.4540171636453 
2800 9.964500392733637 2.5964028185705987 384.2676171484486 
2900 5.108298168166686 2.5968332725753065 384.3313243411454 
3000 5.671217685669175 2.5967011649340983 384.31177241024653 
3100 12.678114790459542 2.597047308255817 384.3630016218609 
3200 8.010345949973736 2.5964720769364424 384.27786738659347 
3300 8.844279318984874 2.596868734647908 384.33657272789037 
3400 3.664653297980953 2.5960562980568316 384.21633211241107 
3500 4.587013859582461 2.596335079469766 384.2575917615254 
3600 9.140221614112956 2.596190905845239 384.23625406509535 
3700 4.16028800547233 2.595890739841979 384.1918294966129 
3800 1.9292268455944317 2.5954324512591582 384.1240027863554 
3900 4.116258640974484 2.595500023544346 384.1340034845632 
4000 4.175127325240756 2.5954469539811376 384.1261491892084 
4100 3.6966766544488463 2.595776440505322 384.1749131947876 
4200 5.59945179532905 2.596170404177109 384.23321981821215 
4300 3.299649621821649 2.5957295897706 384.16797928604876 
4400 7.636380143767469 2.5964261243276257 384.2710664004886 
4500 3.7502057028897395 2.5959123397155395 384.19502627789984 
4600 5.484362367205505 2.595775262180971 384.1747388027837 
4700 6.19741040742111 2.596205671715697 384.2384394139232 
4800 5.491637589558492 2.595773731237601 384.1745122231649 
