# istep   pe  t_kin   ke
0 0.21897333732119498 1.6563224454195244 245.13572192208963 
100 -2.123457672833574 1.6173232394719859 239.3638394418539 
200 -1.479933113225358 1.6173000836462617 239.36041237964673 
300 -1.3039521644814118 1.6171400003542111 239.33672005242323 
400 -1.1247046831457432 1.6172101136930275 239.34709682656808 
500 -0.9842894568955256 1.6170459787981548 239.3228048621269 
600 -0.9961442797671926 1.6170819578814168 239.32812976644968 
700 -1.0015068812871406 1.6170841403532588 239.3284527722823 
800 -1.0110331468735512 1.6171104492153798 239.33234648387622 
900 -0.8913032162847433 1.6171934322989419 239.3446279802434 
1000 -0.9733989272254487 1.617125798400876 239.33461816332965 
1100 -1.0544792218362484 1.6172714215839832 239.3561703944295 
1200 -1.031368826101181 1.6171665803102622 239.3406538859188 
1300 -0.9558701205459781 1.6171407485561566 239.33683078631117 
1400 -0.9952391347934703 1.6170756751464388 239.32719992167293 
1500 -0.9544921947873999 1.617077985966977 239.32754192311262 
